oligo_tag,timepoint,fake,Size_Factor,batch,sample,temp,pseudostage,umap_1,umap_2
reference-48-GAP13-P9_G1,48,FALSE,0.417791378882161,GAP13,GAP13,28C,34.3253425750327,-3.77233355596385,12.7406839949889
reference-24-GAP13-P4_A6,24,FALSE,0.149739388006438,GAP13,GAP13,28C,12.4469932132507,-4.10490649297557,-6.05621293952036
reference-24-GAP13-P4_A7,24,FALSE,0.160831194525434,GAP13,GAP13,28C,13.06883384141,-5.17458241536937,-5.11728338172006
reference-48-GAP13-P9_H5,48,FALSE,0.547195788270441,GAP13,GAP13,28C,37.4446532841772,-2.28733366086802,12.61509653161
reference-48-GAP13-P9_H4,48,FALSE,0.580471207827428,GAP13,GAP13,28C,35.4027410842599,-2.92812626912913,12.758033238153
reference-24-GAP13-P4_A12,24,FALSE,0.18671207640309,GAP13,GAP13,28C,13.0688437336095,-4.63759558751902,-5.23182920386362
reference-48-GAP13-P9_G7,48,FALSE,0.434429088660654,GAP13,GAP13,28C,35.7459063778013,-2.94644015386424,12.3276428801818
reference-24-GAP13-P4_D10,24,FALSE,0.223684764799741,GAP13,GAP13,28C,12.5940755231253,-4.16308062627635,-5.54278186728525
reference-24-GAP13-P4_F8,24,FALSE,0.127555774968447,GAP13,GAP13,28C,12.9834654605533,-3.96572630956492,-5.72798160483408
reference-48-GAP13-P9_E9,48,FALSE,0.449218164019315,GAP13,GAP13,28C,35.3232714810754,-2.73409860685191,13.4930586440368
reference-48-GAP13-P9_D5,48,FALSE,0.495434024515129,GAP13,GAP13,28C,37.1075369321546,-1.39294355466685,13.0137381179137
reference-48-GAP13-P9_E6,48,FALSE,0.658113853460396,GAP13,GAP13,28C,33.2120972254263,-3.76324217870555,11.8192085845275
reference-48-GAP13-P9_E12,48,FALSE,0.499131293354795,GAP13,GAP13,28C,35.8194141397317,-2.46804874494395,12.5671190841003
reference-48-GAP13-P9_A5,48,FALSE,0.412245475622664,GAP13,GAP13,28C,35.7459162700007,-2.66329234197459,12.3168263060851
reference-24-GAP13-P4_C5,24,FALSE,0.199652517341918,GAP13,GAP13,28C,12.9735936359463,-3.88096230581126,-5.65136388709116
reference-48-GAP13-P9_F5,48,FALSE,0.525012175232451,GAP13,GAP13,28C,34.545276825874,-4.05866902425608,12.4606861693664
reference-24-GAP13-P4_B6,24,FALSE,0.155285291265936,GAP13,GAP13,28C,12.7270265408564,-4.46193545415721,-5.98724798132944
reference-48-GAP13-P9_A1,48,FALSE,0.615595261804247,GAP13,GAP13,28C,30.4806872537674,-5.48994534566722,9.15910574028921
reference-48-GAP13-P9_A3,48,FALSE,0.628535702743075,GAP13,GAP13,28C,36.008940953555,-2.49907558515391,12.8083605391784
reference-24-GAP13-P4_A10,24,FALSE,0.107220796350289,GAP13,GAP13,28C,12.8243858163596,-4.36355536535105,-5.41910461356211
reference-24-GAP13-P4_G8,24,FALSE,0.138647581487443,GAP13,GAP13,28C,12.8247859886754,-4.23042672231517,-5.6530838387208
reference-48-GAP13-P9_D4,48,FALSE,0.495434024515129,GAP13,GAP13,28C,36.0608004802453,-2.99581425741038,12.7688383681579
reference-48-GAP13-P9_G9,48,FALSE,0.683994735338052,GAP13,GAP13,28C,37.1800928678447,-1.64307253911814,12.7918476683898
reference-48-GAP13-P9_E4,48,FALSE,0.44552089517965,GAP13,GAP13,28C,35.8484557672099,-2.82902615621409,12.6200461013122
reference-48-GAP13-P9_G6,48,FALSE,0.118312602869285,GAP13,GAP13,28C,32.2471547387676,-5.35399239614329,11.4581656081481
reference-24-GAP13-P4_G12,24,FALSE,0.155285291265936,GAP13,GAP13,28C,11.7721724237174,-3.79482691839061,-6.1428127663331
reference-48-GAP13-P9_H12,48,FALSE,0.530558078491948,GAP13,GAP13,28C,36.0338215287291,-2.52215807988963,12.8424725158019
reference-24-GAP13-P4_E12,24,FALSE,0.162679828945266,GAP13,GAP13,28C,12.7629185595861,-4.02857201650462,-5.38881019522714
reference-24-GAP13-P4_G6,24,FALSE,0.175620269884094,GAP13,GAP13,28C,15.7984268231365,-4.52645629003367,-3.6960149185853
reference-48-GAP13-P9_C10,48,FALSE,0.493585390095297,GAP13,GAP13,28C,35.7459261622002,-3.24306338384471,12.0024065596862
reference-24-GAP13-P4_H12,24,FALSE,0.0961289898312937,GAP13,GAP13,28C,10.3424171277944,-3.24627440526805,-5.88107208182382
